square_id,cluster_k4,cluster_label
4575,0,Low activity / peripheral
4576,0,Low activity / peripheral
4577,2,Moderate activity
4578,1,Urban mixed-use
4579,1,Urban mixed-use
4580,2,Moderate activity
4581,2,Moderate activity
4582,2,Moderate activity
4583,2,Moderate activity
4584,0,Low activity / peripheral
4585,0,Low activity / peripheral
4586,0,Low activity / peripheral
4587,0,Low activity / peripheral
4588,0,Low activity / peripheral
4589,0,Low activity / peripheral
4590,2,Moderate activity
4591,2,Moderate activity
4592,2,Moderate activity
4593,0,Low activity / peripheral
4594,2,Moderate activity
4595,0,Low activity / peripheral
4596,0,Low activity / peripheral
4597,0,Low activity / peripheral
4598,0,Low activity / peripheral
4599,0,Low activity / peripheral
4600,0,Low activity / peripheral
4601,0,Low activity / peripheral
4602,0,Low activity / peripheral
4603,0,Low activity / peripheral
4604,0,Low activity / peripheral
4605,0,Low activity / peripheral
4606,0,Low activity / peripheral
4607,0,Low activity / peripheral
4608,0,Low activity / peripheral
4609,0,Low activity / peripheral
4610,0,Low activity / peripheral
4611,0,Low activity / peripheral
4612,0,Low activity / peripheral
4613,0,Low activity / peripheral
4614,0,Low activity / peripheral
4615,0,Low activity / peripheral
4616,0,Low activity / peripheral
4617,0,Low activity / peripheral
4618,0,Low activity / peripheral
4619,0,Low activity / peripheral
4620,2,Moderate activity
4621,2,Moderate activity
4622,2,Moderate activity
4623,2,Moderate activity
4624,2,Moderate activity
4625,2,Moderate activity
4626,1,Urban mixed-use
4627,1,Urban mixed-use
4628,1,Urban mixed-use
4629,1,Urban mixed-use
4630,2,Moderate activity
4631,2,Moderate activity
4632,2,Moderate activity
4633,2,Moderate activity
4634,2,Moderate activity
4635,2,Moderate activity
4636,2,Moderate activity
4637,1,Urban mixed-use
4638,1,Urban mixed-use
4639,1,Urban mixed-use
4640,1,Urban mixed-use
4641,1,Urban mixed-use
4642,1,Urban mixed-use
4643,1,Urban mixed-use
4644,3,High-activity core
4645,3,High-activity core
4646,3,High-activity core
4647,3,High-activity core
4648,3,High-activity core
4649,3,High-activity core
4650,3,High-activity core
4651,3,High-activity core
4652,3,High-activity core
4653,3,High-activity core
4654,3,High-activity core
4655,3,High-activity core
4656,3,High-activity core
4657,3,High-activity core
4658,3,High-activity core
4659,3,High-activity core
4660,3,High-activity core
4661,3,High-activity core
4662,3,High-activity core
4663,1,Urban mixed-use
4664,3,High-activity core
4665,1,Urban mixed-use
4666,1,Urban mixed-use
4667,1,Urban mixed-use
4668,1,Urban mixed-use
4669,3,High-activity core
4670,1,Urban mixed-use
4671,1,Urban mixed-use
4672,1,Urban mixed-use
4673,0,Low activity / peripheral
4674,0,Low activity / peripheral
4675,0,Low activity / peripheral
4676,0,Low activity / peripheral
4677,1,Urban mixed-use
4678,1,Urban mixed-use
4679,1,Urban mixed-use
4680,2,Moderate activity
4681,2,Moderate activity
4682,2,Moderate activity
4683,2,Moderate activity
4684,0,Low activity / peripheral
4685,0,Low activity / peripheral
4686,0,Low activity / peripheral
4687,0,Low activity / peripheral
4688,0,Low activity / peripheral
4689,2,Moderate activity
4690,2,Moderate activity
4691,2,Moderate activity
4692,2,Moderate activity
4693,2,Moderate activity
4694,0,Low activity / peripheral
4695,0,Low activity / peripheral
4696,0,Low activity / peripheral
4697,0,Low activity / peripheral
4698,0,Low activity / peripheral
4699,0,Low activity / peripheral
4700,0,Low activity / peripheral
4701,0,Low activity / peripheral
4702,0,Low activity / peripheral
4703,0,Low activity / peripheral
4704,0,Low activity / peripheral
4705,0,Low activity / peripheral
4706,0,Low activity / peripheral
4707,0,Low activity / peripheral
4708,0,Low activity / peripheral
4709,0,Low activity / peripheral
4710,0,Low activity / peripheral
4711,0,Low activity / peripheral
4712,0,Low activity / peripheral
4713,0,Low activity / peripheral
4714,0,Low activity / peripheral
4715,0,Low activity / peripheral
4716,0,Low activity / peripheral
4717,0,Low activity / peripheral
4718,0,Low activity / peripheral
4719,0,Low activity / peripheral
4720,2,Moderate activity
4721,2,Moderate activity
4722,2,Moderate activity
4723,2,Moderate activity
4724,2,Moderate activity
4725,1,Urban mixed-use
4726,1,Urban mixed-use
4727,1,Urban mixed-use
4728,1,Urban mixed-use
4729,1,Urban mixed-use
4730,2,Moderate activity
4731,2,Moderate activity
4732,2,Moderate activity
4733,1,Urban mixed-use
4734,1,Urban mixed-use
4735,2,Moderate activity
4736,2,Moderate activity
4737,1,Urban mixed-use
4738,1,Urban mixed-use
4739,1,Urban mixed-use
4740,1,Urban mixed-use
4741,1,Urban mixed-use
4742,1,Urban mixed-use
4743,1,Urban mixed-use
4744,1,Urban mixed-use
4745,3,High-activity core
4746,3,High-activity core
4747,3,High-activity core
4748,3,High-activity core
4749,3,High-activity core
4750,3,High-activity core
4751,3,High-activity core
4752,3,High-activity core
4753,3,High-activity core
4754,3,High-activity core
4755,3,High-activity core
4756,3,High-activity core
4757,3,High-activity core
4758,3,High-activity core
4759,3,High-activity core
4760,3,High-activity core
4761,3,High-activity core
4762,3,High-activity core
4763,3,High-activity core
4764,1,Urban mixed-use
4765,3,High-activity core
4766,1,Urban mixed-use
4767,3,High-activity core
4768,3,High-activity core
4769,1,Urban mixed-use
4770,1,Urban mixed-use
4771,1,Urban mixed-use
4772,2,Moderate activity
4773,0,Low activity / peripheral
4774,0,Low activity / peripheral
4775,0,Low activity / peripheral
4776,2,Moderate activity
4777,1,Urban mixed-use
4778,1,Urban mixed-use
4779,1,Urban mixed-use
4780,2,Moderate activity
4781,2,Moderate activity
4782,2,Moderate activity
4783,2,Moderate activity
4784,2,Moderate activity
4785,0,Low activity / peripheral
4786,0,Low activity / peripheral
4787,0,Low activity / peripheral
4788,0,Low activity / peripheral
4789,2,Moderate activity
4790,2,Moderate activity
4791,2,Moderate activity
4792,2,Moderate activity
4793,2,Moderate activity
4794,0,Low activity / peripheral
4795,0,Low activity / peripheral
4796,0,Low activity / peripheral
4797,0,Low activity / peripheral
4798,0,Low activity / peripheral
4799,0,Low activity / peripheral
4800,0,Low activity / peripheral
4801,0,Low activity / peripheral
4802,0,Low activity / peripheral
4803,0,Low activity / peripheral
4804,0,Low activity / peripheral
4805,0,Low activity / peripheral
4806,0,Low activity / peripheral
4807,0,Low activity / peripheral
4808,0,Low activity / peripheral
4809,0,Low activity / peripheral
4810,0,Low activity / peripheral
4811,0,Low activity / peripheral
4812,0,Low activity / peripheral
4813,0,Low activity / peripheral
4814,0,Low activity / peripheral
4815,0,Low activity / peripheral
4816,0,Low activity / peripheral
4817,0,Low activity / peripheral
4818,0,Low activity / peripheral
4819,2,Moderate activity
4820,2,Moderate activity
4821,2,Moderate activity
4822,2,Moderate activity
4823,2,Moderate activity
4824,2,Moderate activity
4825,1,Urban mixed-use
4826,3,High-activity core
4827,1,Urban mixed-use
4828,1,Urban mixed-use
4829,1,Urban mixed-use
4830,1,Urban mixed-use
4831,2,Moderate activity
4832,2,Moderate activity
4833,1,Urban mixed-use
4834,1,Urban mixed-use
4835,1,Urban mixed-use
4836,2,Moderate activity
4837,2,Moderate activity
4838,1,Urban mixed-use
4839,1,Urban mixed-use
4840,1,Urban mixed-use
4841,1,Urban mixed-use
4842,1,Urban mixed-use
4843,1,Urban mixed-use
4844,1,Urban mixed-use
4845,3,High-activity core
4846,3,High-activity core
4847,3,High-activity core
4848,3,High-activity core
4849,3,High-activity core
4850,3,High-activity core
4851,3,High-activity core
4852,3,High-activity core
4853,3,High-activity core
4854,3,High-activity core
4855,3,High-activity core
4856,3,High-activity core
4857,3,High-activity core
4858,3,High-activity core
4859,3,High-activity core
4860,3,High-activity core
4861,3,High-activity core
4862,3,High-activity core
4863,3,High-activity core
4864,1,Urban mixed-use
4865,3,High-activity core
4866,3,High-activity core
4867,3,High-activity core
4868,3,High-activity core
4869,3,High-activity core
4870,3,High-activity core
4871,1,Urban mixed-use
4872,1,Urban mixed-use
4873,1,Urban mixed-use
4874,3,High-activity core
4875,2,Moderate activity
4876,2,Moderate activity
4877,1,Urban mixed-use
4878,1,Urban mixed-use
4879,1,Urban mixed-use
4880,1,Urban mixed-use
4881,2,Moderate activity
4882,2,Moderate activity
4883,2,Moderate activity
4884,2,Moderate activity
4885,2,Moderate activity
4886,0,Low activity / peripheral
4887,0,Low activity / peripheral
4888,2,Moderate activity
4889,1,Urban mixed-use
4890,3,High-activity core
4891,1,Urban mixed-use
4892,2,Moderate activity
4893,0,Low activity / peripheral
4894,0,Low activity / peripheral
4895,0,Low activity / peripheral
4896,0,Low activity / peripheral
4897,0,Low activity / peripheral
4898,0,Low activity / peripheral
4899,0,Low activity / peripheral
4900,0,Low activity / peripheral
4901,0,Low activity / peripheral
4902,0,Low activity / peripheral
4903,0,Low activity / peripheral
4904,0,Low activity / peripheral
4905,0,Low activity / peripheral
4906,0,Low activity / peripheral
4907,0,Low activity / peripheral
4908,0,Low activity / peripheral
4909,0,Low activity / peripheral
4910,0,Low activity / peripheral
4911,0,Low activity / peripheral
4912,0,Low activity / peripheral
4913,0,Low activity / peripheral
4914,0,Low activity / peripheral
4915,0,Low activity / peripheral
4916,0,Low activity / peripheral
4917,0,Low activity / peripheral
4918,2,Moderate activity
4919,2,Moderate activity
4920,2,Moderate activity
